Generated using:
NIST Webbook: https://webbook.nist.gov/chemistry/fluid/ (April 27th, 2021)

Equation of state, auxiliary model, and melting curve:
Span, R.; Lemmon, E.W.; Jacobsen, R.T.; Wagner, W.; Yokozeki, A., A Reference Equation of State for the Thermodynamic Properties of Nitrogen for Temperatures from 63.151 to 1000 K and Pressures to 2200 MPa, J. Phys. Chem. Ref. Data, 2000, 29, 6, 1361-1433. [all data]
Auxiliary model:
Jacobsen, R.T.; Stewart, R.B.; Jahangiri, M., Thermodynamic properties of nitrogen from the freezing line to 2000 K at pressures to 1000 MPa., J. Phys. Chem. Ref. Data, 1986, 15(2), 735-909. [all data]
Auxiliary model and dielectric constant:
Younglove, B.A., Thermophysical Properties of Fluids. I. Argon, Ethylene, Parahydrogen, Nitrogen, Nitrogen Trifluoride, and Oxygen, J. Phys. Chem. Ref. Data, 1982, 11, 1-11. [all data]
Surface tension:
Lemmon, E.W.; Penoncello, S.G., The Surface Tension of Air and Air Component Mixtures, Adv. Cryo. Eng., 1994, 39, 1927-1934. [all data] 

Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
200.000000000	1.00000000000	1.68823803356	0.592333533612	147.769837080	207.003190441	6.42315441450	0.743020768751	1.04344387068	288.105204800	0.467854104250	1.29235175321e-05	0.0186591730067	vapor
300.000000000	1.00000000000	1.12327855982	0.890251123604	222.171257771	311.196370131	6.84565024073	0.743164285271	1.04133489697	353.159087631	0.211966910857	1.78971099868e-05	0.0258580445287	vapor
400.000000000	1.00000000000	0.842075618611	1.18754180491	296.698991561	415.453172053	7.14555429942	0.747455467749	1.04495031851	407.511160614	0.100889210392	2.22165614210e-05	0.0322050172718	vapor
500.000000000	1.00000000000	0.673577298506	1.48461060404	371.991944412	520.453004815	7.37980729738	0.759211563011	1.05642020288	454.600406246	0.0397550459320	2.60779467653e-05	0.0381425020859	vapor
600.000000000	1.00000000000	0.561300571696	1.78157666396	448.823561370	626.981227765	7.57397936240	0.778066428224	1.07512926552	496.267872612	0.00214826376238	2.96021145223e-05	0.0439171843077	vapor
700.000000000	1.00000000000	0.481119116860	2.07848735367	527.771113878	735.619849245	7.74140103925	0.801096922155	1.09807635097	533.872245137	-0.0224019029497	3.28684126579e-05	0.0496046426880	vapor
800.000000000	1.00000000000	0.420987912614	2.37536511153	609.100609810	846.637120963	7.88960794831	0.825350849741	1.12227860176	568.436090699	-0.0390898224821	3.59317068343e-05	0.0551970183581	vapor
900.000000000	1.00000000000	0.374220422620	2.67222187661	692.827415670	960.049603331	8.02316147667	0.848840473092	1.14573428914	600.683070217	-0.0508224735578	3.88315209313e-05	0.0606663031070	vapor
1000.00000000	1.00000000000	0.336806419042	2.96906455300	778.816849410	1075.72330471	8.14501584205	0.870520454567	1.16739097567	631.107768515	-0.0593243603232	4.15972780079e-05	0.0659905720837	vapor
1100.00000000	1.00000000000	0.306194555452	3.26589739169	866.864085320	1193.45382449	8.25721028543	0.889986343292	1.18684030816	660.048537062	-0.0656542258141	4.42514774865e-05	0.0711596633041	vapor
1200.00000000	1.00000000000	0.280684173379	3.56272314167	956.743933110	1313.01624728	8.36123234210	0.907200008368	1.20404187296	687.742604617	-0.0704804502061	4.68117125274e-05	0.0761733319152	vapor
1300.00000000	1.00000000000	0.259097989337	3.85954365204	1048.23759545	1434.19196065	8.45821660394	0.922305792258	1.21913860866	714.362352781	-0.0742364115620	4.92920014736e-05	0.0810378760655	vapor
1400.00000000	1.00000000000	0.240595124119	4.15636020747	1141.14505391	1556.78107466	8.54905886485	0.935523079172	1.23234899991	740.037910838	-0.0772106343691	5.17036957354e-05	0.0857632492085	vapor
1500.00000000	1.00000000000	0.224558946442	4.45317372497	1235.28940418	1680.60677668	8.63448518711	0.947088889367	1.24390947041	764.871055498	-0.0796002139645	5.40561163393e-05	0.0903610491848	vapor
1600.00000000	1.00000000000	0.210526986185	4.74998487424	1330.51704926	1805.51553669	8.71509593555	0.957229816154	1.25404620616	788.943853884	-0.0815431390669	5.63570110898e-05	0.0948432601633	vapor
1700.00000000	1.00000000000	0.198145588955	5.04679415411	1426.69597173	1931.37538714	8.79139526322	0.966150079382	1.26296314187	812.324165365	-0.0831382721511	5.86128898427e-05	0.0992215279281	vapor
1800.00000000	1.00000000000	0.187139687942	5.34360194246	1523.71327519	2058.07346943	8.86381173365	0.974027962574	1.27083835703	835.069250763	-0.0844579749991	6.08292749572e-05	0.103506780419	vapor
1900.00000000	1.00000000000	0.177292122494	5.64040852990	1621.47259798	2185.51345097	8.93271328882	0.981016336893	1.27782457404	857.228218970	-0.0855562636762	6.30108914600e-05	0.107709059524	vapor
2000.00000000	1.00000000000	0.168429161547	5.93721414281	1719.89168106	2313.61309534	8.99841845147	0.987244971765	1.28405145197	878.843741013	-0.0864741899765	6.51618135515e-05	0.111837476231	vapor
